Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(cm),,,Stationary test 21/02/2016
4939,0.01003564,-0.009320058,0.02928662,0,0,0,-0.6134504,35.4839,-997.3086,0,,,
5004,0.00996583,-0.009145525,0.02928662,0,0,0,-7.368267,37.19715,-997.5425,0,,,
5069,0.01000074,-0.009075711,0.02925172,0,0,0,-3.273692,34.18649,-1000.809,0,,,
5134,0.009930924,-0.009128072,0.02926917,0,0,0,-6.70781,30.57073,-996.5879,0,,,
5199,0.009948377,-0.009058258,0.02925172,0,0,0,-9.010211,35.45532,-998.1211,0,,,
5264,0.00996583,-0.008936086,0.02925172,0,0,0,-1.084651,37.06285,-998.3823,0,,,
5329,0.01000074,-0.008831366,0.02925172,0,0,0,-3.865663,29.25517,-995.9849,0,,,
5394,0.01003564,-0.008621926,0.02923426,0,0,0,-0.7756362,37.41309,-1003.417,0,,,
5459,0.01003564,-0.008569567,0.02921681,0,0,0,-1.637845,29.84848,-1005.083,0,,,
5524,0.01000074,-0.008447394,0.02918191,0,0,0,-7.204501,33.75077,-996.7158,0,,,
5589,0.01010546,-0.008307767,0.02919936,0,0,0,-6.344866,31.89694,-997.8267,0,,,
5654,0.01022763,-0.008185594,0.02919936,0,0,0,-8.835289,29.40463,-997.9609,0,,,
5719,0.01033235,-0.008080875,0.02918191,0,0,0,-3.907631,35.50801,-996.645,0,,,
5784,0.0103149,-0.007958701,0.02919936,0,0,0,-7.164252,36.96934,-1003.249,0,,,
5849,0.01029744,-0.007923795,0.02921681,0,0,0,-1.186006,29.24309,-1003.968,0,,,
5914,0.01027999,-0.007714355,0.02921681,0,0,0,-0.5570062,33.09456,-1004.396,0,,,
5979,0.0103498,-0.007557276,0.02921681,0,0,0,-7.38642,31.25706,-998.5986,0,,,
6044,0.01036726,-0.007557276,0.02919936,0,0,0,-7.43855,27.62951,-1000.914,0,,,
6109,0.01055924,-0.007452555,0.02923426,0,0,0,-2.345482,36.16018,-996.5083,0,,,
6174,0.01048943,-0.007330383,0.02921681,0,0,0,-3.015095,37.27938,-995.8364,0,,,
6239,0.01059415,-0.007382743,0.02926917,0,0,0,-8.668634,29.79053,-1004.326,0,,,
6304,0.01059415,-0.00731293,0.02926917,0,0,0,-0.8129969,31.35417,-1003.433,0,,,
6369,0.01054179,-0.007347836,0.02926917,0,0,0,-8.008363,35.99887,-997.0894,0,,,
6434,0.01050688,-0.00726057,0.02925172,0,0,0,-7.021373,37.53458,-997.96,0,,,
6499,0.01055924,-0.007382743,0.02925172,0,0,0,-8.475715,29.37726,-1002.712,0,,,
6564,0.01055924,-0.007347836,0.02925172,0,0,0,-9.007267,28.80405,-997.1255,0,,,
6629,0.01066396,-0.007330383,0.02926917,0,0,0,0.1727263,37.43764,-1000.737,0,,,
6720,0.01073377,-0.007190756,0.02923426,0,0,0,-9.822037,27.64679,-997.3335,0,,,
6785,0.01085595,-0.007278023,0.02930408,0,0,0,-9.713111,28.87701,-997.334,0,,,
6850,0.01089085,-0.007382743,0.02932153,0,0,0,-6.405117,37.82195,-1003.424,0,,,
6915,0.01080359,-0.007208209,0.02932153,0,0,0,-0.589002,37.19411,-996.7202,0,,,
6980,0.01092576,-0.007225663,0.02932153,0,0,0,0,0,0,0,,,
7045,0.01110029,-0.007278023,0.02935644,0,0,0,-8.348855,37.93092,-1005.157,0,,,
7110,0.01104793,-0.007278023,0.02939134,0,0,0,-5.621061,34.0738,-1001.893,0,,,
7175,0.01111775,-0.007190756,0.02937389,0,0,0,-7.39869,36.62379,-996.708,0,,,
7240,0.01110029,-0.007278023,0.02937389,0,0,0,-8.081879,35.96248,-1005.35,0,,,
7305,0.01101303,-0.007365289,0.02939134,0,0,0,-8.118381,37.41234,-999.375,0,,,
7370,0.01101303,-0.007452555,0.0294088,0,0,0,-8.083324,38.31661,-996.1523,0,,,
7435,0.01092576,-0.007470009,0.02942625,0,0,0,-3.1397,37.1513,-999.9614,0,,,
7500,0.01082104,-0.007330383,0.02942625,0,0,0,-8.447073,37.38929,-997.646,0,,,
7565,0.01082104,-0.007400196,0.0294088,0,0,0,-8.286867,32.40385,-996.291,0,,,
7630,0.01076868,-0.007504916,0.0294088,0,0,0,-8.297481,30.72712,-998.272,0,,,
7695,0.01075123,-0.007522369,0.02937389,0,0,0,-8.798576,37.59118,-996.6943,0,,,
7760,0.01073377,-0.007627089,0.02935644,0,0,0,-8.121672,38.16858,-996.6523,0,,,
7825,0.01062906,-0.007731808,0.02935644,0,0,0,-8.05663,37.24844,-998.1528,0,,,
7890,0.01062906,-0.007819075,0.02937389,0,0,0,-4.728293,36.13567,-996.4775,0,,,
7955,0.01052434,-0.007801622,0.02939134,0,0,0,-9.063214,37.2742,-996.6348,0,,,
8020,0.01055924,-0.007888888,0.02939134,0,0,0,-8.393596,31.94539,-995.001,0,,,
8085,0.0106116,-0.007923795,0.0294088,0,0,0,-8.243036,33.26999,-998.145,0,,,
8150,0.01050688,-0.008045968,0.02946116,0,0,0,-8.096469,37.3275,-1002.326,0,,,
8215,0.01052434,-0.008115781,0.02947861,0,0,0,-8.459775,29.76976,-996.4521,0,,,
8280,0.01054179,-0.00816814,0.02951352,0,0,0,-8.347775,28.78447,-1007.426,0,,,
8345,0.01071632,-0.008203047,0.02956588,0,0,0,-8.397129,29.47748,-997.5747,0,,,
8410,0.01071632,-0.008290314,0.02961824,0,0,0,-8.0613,37.33501,-999.7505,0,,,
8475,0.01080359,-0.00837758,0.02961824,0,0,0,-8.414211,29.87259,-996.8359,0,,,
8540,0.01085595,-0.008429941,0.02961824,0,0,0,-7.980214,36.43148,-1005.092,0,,,
8605,0.01076868,-0.008447394,0.0296706,0,0,0,-8.066596,37.39593,-997.0347,0,,,
8670,0.01068141,-0.008464847,0.02968805,0,0,0,-8.030867,37.36407,-996.7524,0,,,
8735,0.01071632,-0.0084823,0.02968805,0,0,0,-8.37586,28.84052,-1004.268,0,,,
8800,0.01064651,-0.008360127,0.0297055,0,0,0,-0.5231416,37.05997,-998.6353,0,,,
8865,0.01054179,-0.00837758,0.02974041,0,0,0,-8.138196,37.33229,-998.7612,0,,,
8930,0.01043707,-0.00837758,0.02974041,0,0,0,-8.116609,37.99178,-1000.925,0,,,
8995,0.01040216,-0.008307767,0.02977532,0,0,0,-1.597799,37.01884,-996.5493,0,,,
9060,0.0103149,-0.00832522,0.02979277,0,0,0,-8.536774,37.48975,-989.6504,0,,,
9125,0.01021018,-0.008237954,0.02984513,0,0,0,-9.2026,37.28318,-1005.172,0,,,
9190,0.01021018,-0.008290314,0.02984513,0,0,0,-8.414323,29.305,-1004.376,0,,,
9255,0.01027999,-0.008360127,0.02984513,0,0,0,-8.249441,32.01743,-1002.895,0,,,
9320,0.01043707,-0.008360127,0.02986258,0,0,0,-8.147731,28.8352,-999.1992,0,,,
9385,0.01062906,-0.008395034,0.02984513,0,0,0,-8.418235,29.49118,-996.584,0,,,
9450,0.01068141,-0.0084823,0.02984513,0,0,0,-8.47277,29.04027,-996.6284,0,,,
9515,0.0106116,-0.008517207,0.02988004,0,0,0,-8.074087,37.61689,-996.3936,0,,,
9580,0.01071632,-0.008621926,0.02988004,0,0,0,-7.94673,38.57639,-997.4668,0,,,
9645,0.01062906,-0.008674286,0.02991494,0,0,0,-8.108475,37.55106,-996.4209,0,,,
9721,0.01071632,-0.008761552,0.0299324,0,0,0,-8.40225,30.39995,-1001.575,0,,,
9785,0.01062906,-0.008813913,0.0299324,0,0,0,-8.245687,30.27065,-1004.964,0,,,
9850,0.01066396,-0.008813913,0.03000221,0,0,0,-8.121333,33.18107,-1004.373,0,,,
9915,0.01082104,-0.008866273,0.02998476,0,0,0,-8.215106,33.52201,-997.2827,0,,,
9980,0.01083849,-0.008866273,0.03000221,0,0,0,-8.134045,37.84034,-999.8804,0,,,
10045,0.01075123,-0.008866273,0.03001966,0,0,0,-8.058339,37.38858,-997.4453,0,,,
10110,0.01078613,-0.008936086,0.03005457,0,0,0,0,0,0,0,,,
10175,0.01082104,-0.008970993,0.03008948,0,0,0,-8.185645,30.95546,-1005.039,0,,,
10240,0.01097812,-0.009040806,0.03010693,0,0,0,-8.383193,29.77053,-1005.115,0,,,
10305,0.01092576,-0.009075711,0.03010693,0,0,0,-8.038721,37.3598,-1004.185,0,,,
10370,0.01085595,-0.009110619,0.03012438,0,0,0,-8.130339,37.2814,-996.7329,0,,,
10435,0.0108734,-0.009145525,0.03017674,0,0,0,-8.221413,35.68633,-996.6411,0,,,
10500,0.01080359,-0.009145525,0.0301942,0,0,0,-8.315775,30.61429,-996.7671,0,,,
10565,0.01083849,-0.009180432,0.03021165,0,0,0,-8.089756,36.5213,-996.6313,0,,,
10630,0.01075123,-0.009215338,0.03021165,0,0,0,-8.010964,37.43813,-998.1543,0,,,
10695,0.01069887,-0.009267699,0.0302291,0,0,0,-8.168923,35.90826,-996.7632,0,,,
10760,0.01069887,-0.009267699,0.03028146,0,0,0,-8.149112,35.56955,-1000.016,0,,,
10825,0.01076868,-0.009250244,0.03029891,0,0,0,-7.723591,33.39728,-996.2822,0,,,
10890,0.01069887,-0.009285152,0.03031637,0,0,0,-8.212611,30.67113,-996.7617,0,,,
10955,0.01090831,-0.009337512,0.03033382,0,0,0,-8.466531,28.1135,-1004.05,0,,,
11020,0.01108284,-0.009354965,0.03035128,0,0,0,-8.471844,29.46536,-1004.427,0,,,
11085,0.01108284,-0.009389871,0.03040363,0,0,0,-8.177524,33.981,-1003.331,0,,,
11150,0.01122247,-0.009407324,0.03042109,0,0,0,-8.414707,29.64785,-997.5034,0,,,
11215,0.01130973,-0.009424779,0.0304909,0,0,0,-8.348842,29.96645,-995.0469,0,,,
11280,0.01130973,-0.009424779,0.0304909,0,0,0,-7.997004,38.06342,-1004.918,0,,,
11345,0.01129228,-0.009442232,0.03052581,0,0,0,-8.412368,30.62077,-996.8384,0,,,
11410,0.01118756,-0.009442232,0.03054326,0,0,0,-8.06127,37.27899,-1000.033,0,,,
11475,0.01108284,-0.009302605,0.03057817,0,0,0,-0.7138968,33.61175,-996.1802,0,,,
11540,0.01115265,-0.009180432,0.03059562,0,0,0,-9.375325,28.62992,-995.4287,0,,,
11605,0.01132719,-0.009232791,0.03063053,0,0,0,-8.273445,29.5968,-996.6494,0,,,
11670,0.01130973,-0.009197885,0.03061307,0,0,0,-7.867338,39.13789,-997.4946,0,,,
11735,0.01129228,-0.009232791,0.03063053,0,0,0,-8.398394,28.14771,-1000.03,0,,,
11800,0.01123992,-0.009267699,0.03061307,0,0,0,-8.164731,36.43643,-995.77,0,,,
11865,0.01122247,-0.009250244,0.03063053,0,0,0,-9.612763,31.64162,-1002.224,0,,,
11930,0.01110029,-0.009197885,0.03063053,0,0,0,-8.696282,37.50983,-998.2319,0,,,
11995,0.0111352,-0.009180432,0.03066543,0,0,0,-8.342976,29.4828,-1004.828,0,,,
12060,0.01106539,-0.009180432,0.03070034,0,0,0,-8.040919,37.14119,-1004.424,0,,,
12125,0.01104793,-0.009180432,0.03071779,0,0,0,-8.325267,28.83757,-1004.398,0,,,
12190,0.01125737,-0.009250244,0.03077015,0,0,0,-8.273246,31.03533,-1005.131,0,,,
12255,0.01141445,-0.009267699,0.03078761,0,0,0,-8.425958,29.97031,-996.1558,0,,,
12320,0.01137955,-0.009232791,0.03080506,0,0,0,-7.990223,37.48705,-998.9858,0,,,
12386,0.01123992,-0.009250244,0.03082252,0,0,0,-8.043185,37.31689,-999.4482,0,,,
12451,0.01129228,-0.009145525,0.03087487,0,0,0,-9.064014,38.03955,-996.5591,0,,,
12515,0.01122247,-0.009058258,0.03087487,0,0,0,0.6377046,35.03994,-1004.304,0,,,
12580,0.01130973,-0.008970993,0.03092723,0,0,0,-8.636424,29.0218,-1000.953,0,,,
12645,0.01132719,-0.009005899,0.03094469,0,0,0,-8.060164,37.49689,-1004.452,0,,,
12710,0.01123992,-0.009040806,0.03097959,0,0,0,-8.380185,31.77461,-996.1445,0,,,
12775,0.01122247,-0.009075711,0.0310145,0,0,0,-8.178689,37.98105,-996.627,0,,,
12840,0.01111775,-0.009110619,0.0310145,0,0,0,-8.042317,37.34772,-997.1885,0,,,
12905,0.01103048,-0.009093165,0.03104941,0,0,0,-8.30413,32.43947,-998.7427,0,,,
12970,0.01097812,-0.009093165,0.03104941,0,0,0,-8.158815,34.55606,-1004.359,0,,,
13035,0.01085595,-0.009023353,0.03108431,0,0,0,-10.00949,37.35145,-998.144,0,,,
13100,0.01080359,-0.009040806,0.03115413,0,0,0,-8.020953,38.64096,-1001.313,0,,,
13166,0.01069887,-0.008866273,0.03117158,0,0,0,-1.347104,36.9195,-996.2705,0,,,
13230,0.0106116,-0.008796459,0.03120649,0,0,0,0.9745095,37.00993,-998.7627,0,,,
13295,0.01052434,-0.008691739,0.03125885,0,0,0,-7.356432,35.83944,-995.1025,0,,,
13360,0.01048943,-0.008779006,0.03129375,0,0,0,-8.02631,37.95285,-996.5586,0,,,
13425,0.01041962,-0.008796459,0.03132866,0,0,0,-8.092051,37.36088,-996.644,0,,,
13493,0.0103149,-0.008779006,0.03136357,0,0,0,0.2348742,36.93962,-997.2495,0,,,
13557,0.01022763,-0.008779006,0.03139848,0,0,0,-8.135036,37.4301,-996.6191,0,,,
13622,0.01012291,-0.008831366,0.03141592,0,0,0,-8.17659,37.28889,-996.7603,0,,,
13687,0.01007055,-0.008866273,0.03145083,0,0,0,-10.06509,35.74212,-1005.615,0,,,
13753,0.0100531,-0.008813913,0.03146829,0,0,0,-9.437037,37.75222,-1004.444,0,,,
13817,0.009983283,-0.008831366,0.03145083,0,0,0,-7.996283,37.45755,-996.5322,0,,,
13883,0.009896017,-0.00884882,0.03143338,0,0,0,-6.197447,37.23623,-998.3809,0,,,
