Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,30 second flight 25/02/16. Flat trim and calibrate before takeoff
8099,0.005009095,-0.0288852,0.02785545,0.005487079,0.00362019,0,-55.90884,50.45359,-1070.039,0,,
8177,0.01356121,-0.03635521,0.03609341,0.01077127,-0.000484655,0,-58.17223,11.85136,-1045.163,0,,
8255,0.02281145,-0.04103269,0.0461465,0.01819673,0.006171654,0,-26.14539,47.39314,-1058.167,0,,
8333,0.009075711,-0.03679154,0.05635668,0.0213733,0.006719945,0,-18.89302,29.19811,-1023.384,0,,
8411,-0.01193805,-0.03108431,0.06323328,0.01994583,-0.00143057,0,-16.63199,29.45236,-1009.507,0,,
8489,-0.02108358,-0.02026327,0.07014478,0.01547322,-0.008233512,0,-20.40271,43.14066,-1015.421,0,,
8567,-0.02172935,-0.008761552,0.07304203,0.009167761,-0.008457968,0,-10.02922,61.16871,-1031.717,0,,
8645,-0.02598795,0.003019419,0.07496189,0.001607707,-0.01032682,0,-34.52355,56.09419,-998.3124,0,,
8723,-0.0262672,0.0103149,0.073426,0.0442164,-0.0340027,0,-38.16941,52.69626,-1010.564,0,,
8801,-0.03017674,0.01624902,0.07251843,0.04973647,-0.0256078,0,-28.89459,63.75505,-1002.183,0,,
8878,-0.03199188,0.02052507,0.0704764,0.0763234,-0.05253262,0,-22.52304,63.08266,-1166.117,0.247,,
8957,-0.02670354,0.01956514,0.07012733,0.04228037,-0.04507664,0,-24.67866,49.97368,-1330.036,0.264,,
9037,-0.0297055,0.01715659,0.07052875,0.05919282,-0.04395891,0,-2.324974,60.14183,-1262.492,0.295,,
9112,-0.03131121,0.01703441,0.07061602,0.01964706,-0.09555411,0,-56.24253,43.39422,-1103.734,0.352,,
9190,-0.02965314,0.01574287,0.07026695,0.02652047,-0.1121009,0,-21.27076,63.92133,-995.772,0.425,,
9269,-0.03146829,0.01190315,0.07094763,0.04755442,-0.04789121,0,-31.65198,55.09276,-888.7252,0.511,,
9348,-0.02741912,0.008569567,0.0715585,0.01238532,-0.05711378,0,-27.95798,66.297,-867.6874,0.593,,
9425,-0.01942552,0.007679448,0.07049385,0.053596,-0.08434953,0,-43.10434,69.85477,-535.7615,0.663,,
9502,-0.01356121,0.01223476,0.06848672,0.01796239,-0.1302741,0,-32.63929,65.76801,-650.2186,0.674,,
9580,-0.01036726,0.02204351,0.06653195,0.004388116,-0.1248997,0,-31.26901,64.97335,-784.253,0.682,,
9658,-0.006736971,0.02694788,0.06548475,0.0302325,-0.1367886,0,-22.44718,58.68371,-867.4039,0.684,,
9736,-0.00439823,0.02822197,0.06448992,0.002661377,-0.1372336,0,-21.73481,67.00251,-956.2932,0.672,,
