Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),,,Yaw(degrees)
6013,0.01282817,-0.006562438,1.793134,-0.8705384,-0.7177258,0,19.41716,27.56349,-1072.256,,,102.7390103
6091,0.01239184,0.000855211,1.799714,-0.9471935,-0.8037002,0,11.33847,45.99181,-1089.06,,,103.1160165
6169,0.02490585,-0.004223697,1.811617,-0.6577389,-0.5708279,0,15.66069,79.03449,-1073.452,,,103.7980082
6248,0.02431244,-0.007766715,1.817586,-0.4599983,-0.3788342,0,-4.509872,81.10072,-1020.587,,,104.1400067
6326,-0.001850049,0.01036726,1.817184,-0.3643628,-0.1116766,0,20.44313,25.68916,-979.4029,,,104.1169738
6404,0.000261799,0.02741912,1.813973,-0.2954683,-0.03520237,0,6.269444,34.69413,-998.8786,,,103.9329971
6482,0.01172861,0.041853,1.805892,-0.280418,-0.01030552,0,5.748438,38.6614,-957.2268,,,103.4699899
6561,0.01256637,0.04174827,1.79542,-0.2857354,-0.001984557,0,-1.141486,49.00515,-940.2544,,,102.8699885
6638,0.01321214,0.03549999,1.79186,-0.3020699,-0.000478588,0,-1.805924,62.24649,-933.2675,,,102.6660155
6716,0.01497492,0.03639011,1.788875,-0.3137457,0.004416526,0,9.26025,68.32596,-958.8843,,,102.4949876
6794,0.01260128,0.04145157,1.786467,-0.3165165,0.01701757,0,12.72493,63.3391,-949.4518,,,102.3570193
6872,0.005253441,0.04471534,1.786589,-0.3158642,0.02338234,0,10.6586,45.28591,-959.613,,,102.3640094
6950,-0.01298525,0.03876376,1.78528,-0.3672806,0.01776836,0,36.29209,29.86303,-952.5427,,,102.2890092
7028,-0.01993166,0.02354449,1.784163,-0.3766305,0.009694929,0,6.621098,37.33263,-949.0302,,,102.2250099
7106,-0.01190315,0.01713913,1.78151,-0.3830426,-0.003872784,0,13.16451,43.73542,-972.4904,,,102.0730042
7184,-0.000767945,0.01846558,1.779241,-0.38674,-0.006016773,0,7.290358,60.31524,-992.6122,,,101.943
7262,0.007190756,0.008552114,1.778525,-0.3817585,0.002906614,0,24.64168,41.55043,-990.817,,,101.9019763
7340,0.01572542,-0.01890191,1.776902,-0.3719717,0.01878365,0,7.866683,54.88791,-994.2589,,,101.8089852
7418,0.0214501,-0.0442441,1.776344,-0.3696011,0.04155241,0,-0.75213,49.37837,-965.0147,,,101.7770142
7496,0.01675516,-0.05916666,1.775838,-0.2623122,0.04824711,0,10.56874,51.11942,-1042.642,,,101.7480225
7574,0.008621926,-0.0537736,1.775209,-0.1678541,0.05483848,0,8.659193,38.68556,-1062.93,,,101.7119835
7652,0.007347836,-0.05162684,1.773237,-0.08671527,0.05280302,0,4.819745,50.69559,-1063.234,,,101.5989962
7730,0.005532694,-0.05562364,1.771998,-0.0360257,0.05325584,0,3.88059,52.89406,-1070.789,,,101.5280067
7808,0.005410521,-0.05579818,1.77198,-0.03079287,0.05316575,0,3.723756,46.64515,-1065.901,,,101.5269754
7886,0.005410521,-0.05579818,1.77198,-0.03079287,0.05316575,0,3.723756,46.64515,-1065.901,,,101.5269754
7982,0.01916372,0.005829399,1.769991,0.02146723,0.04974069,0,-3.821292,35.72055,-1044.707,,,101.4130141
8058,0.02108358,0.009843657,1.769642,0.01163156,0.02121637,0,-1.88337,49.56491,-1040.343,,,101.3930178
8136,0.007644542,0.005654867,1.768961,0.01277896,0.00442728,0,0.1370938,51.24421,-1026.144,,,101.3539994
8216,-0.008063422,0.006003933,1.769973,0.009132867,-0.0336077,0,-6.718197,34.90934,-1017.338,,,101.4119828
8292,-0.0148353,0.01075123,1.77027,0.008815258,-0.05063233,0,-2.012369,53.26876,-1009.785,,,101.4289996
8370,-0.01336922,0.01720895,1.771945,0.000783227,-0.06095412,0,-4.767154,51.80217,-987.6505,,,101.52497
8448,-0.01223476,0.01864012,1.772905,-0.001491113,-0.06568824,0,-1.503067,46.70654,-954.5925,,,101.579974
8526,-0.01905899,0.01769764,1.772766,0.001709752,-0.0837763,0,-1.254575,49.13543,-959.9576,,,101.5720099
8604,-0.03968878,0.01638864,1.772748,-0.000797036,-0.108705,0,-4.682253,45.94542,-945.7689,,,101.5709785
8682,-0.06616543,0.01600467,1.773394,0.001758454,-0.1607588,0,-0.7991118,45.42466,-943.4005,,,101.6079916
