Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,,Short flight 21/02/2017
7677,-0.01384046,0.01891937,2.011946,-0.03626082,-0.1621447,0,11.32216,55.95779,-1004.237,0.612,,,
7742,-0.01377065,0.01720895,2.01137,-0.03236605,-0.1525378,0,20.96343,58.50607,-1014.366,0.604,,,
7807,-0.01394518,0.01315978,2.011352,-0.03302392,-0.1505273,0,22.96702,58.19002,-1012.523,0.597,,,
7872,-0.01343904,0.008918632,2.011597,-0.03613053,-0.1719806,0,20.70472,47.90631,-1020.267,0.591,,,
7937,-0.01272345,0.007330383,2.010916,-0.03577596,-0.1533987,0,18.07668,52.09342,-1023.948,0.585,,,
8002,-0.01146681,0.004415683,2.010986,-0.02884212,-0.1498851,0,6.697523,52.22131,-1011.68,0.579,,,
8067,-0.008988446,0.003682645,2.010672,-0.02417763,-0.1698764,0,19.48524,55.21704,-1019.088,0.577,,,
8132,-0.007417649,0.002844887,2.010864,-0.0218357,-0.1496298,0,25.43724,51.78284,-1024.04,0.574,,,
8197,-0.006597344,0.003700098,2.011021,-0.02087025,-0.1408025,0,17.29306,54.38391,-1019.894,0.574,,,
8262,-0.005340707,0.003595378,2.0113,-0.01238138,-0.1359051,0,21.97844,43.88009,-1027.679,0.576,,,
8327,-0.005009095,0.005550147,2.011125,-0.02427658,-0.1298473,0,19.90894,52.37409,-1018.836,0.574,,,
8392,-0.005323255,0.005218534,2.011457,-0.01778402,-0.1247894,0,17.514,48.8376,-1013.602,0.574,,,
8457,-0.005829399,0.004276057,2.011719,-0.01472383,-0.1206738,0,14.16623,50.49593,-1011.699,0.574,,,
8522,-0.006073745,0.006894051,2.012242,-0.008870474,-0.129501,0,9.292931,52.6133,-1015.251,0.577,,,
8587,-0.0082205,0.01064651,2.012906,-0.01443224,-0.122273,0,17.76902,44.81106,-1015.915,0.58,,,
8652,-0.007784169,0.01233948,2.013516,-0.0191885,-0.1247296,0,12.26871,42.17842,-1013.783,0.584,,,
8717,-0.006422812,0.01275836,2.013429,-0.03094833,-0.1125788,0,4.597969,46.98234,-1001.727,0.588,,,
8782,-0.00684169,0.01160644,2.013761,-0.02851452,-0.1046371,0,7.448818,43.53125,-990.7932,0.593,,,
8847,-0.007208209,0.01111775,2.013848,-0.02393779,-0.1040916,0,7.033307,44.39647,-1003.091,0.597,,,
8913,-0.007225663,0.0106116,2.013848,-0.0294461,-0.0989451,0,10.71298,47.24136,-991.7744,0.605,,,
8978,-0.006544985,0.007923795,2.013901,-0.03346762,-0.09167451,0,10.89177,50.18291,-998.6772,0.609,,,
9043,-0.006352998,0.006073745,2.013883,-0.03207177,-0.0933816,0,18.43932,47.1308,-988.12,0.614,,,
9109,-0.006440265,0.005009095,2.01411,-0.03034884,-0.09275814,0,23.17542,43.79016,-997.7653,0.619,,,
9174,-0.006283185,0.004520403,2.014407,-0.02577045,-0.09092939,0,11.60615,47.39934,-984.2001,0.626,,,
9239,-0.006248279,0.004520403,2.013935,-0.02285547,-0.09074195,0,16.44219,40.82673,-998.7596,0.628,,,
9304,-0.005550147,0.004223697,2.013674,-0.03048746,-0.1169947,0,9.533296,49.64467,-1003.252,0.633,,,
9369,-0.005148721,0.003508112,2.01329,-0.02352322,-0.1112848,0,25.86776,45.61721,-1013.657,0.636,,,
9434,-0.00572468,0.002740167,2.012836,-0.03714569,-0.08843055,0,11.98202,41.61624,-1002.518,0.643,,,
9499,-0.005497787,0.002373648,2.01205,-0.02536009,-0.07443386,0,7.913463,50.00394,-991.455,0.649,,,
9564,-0.004712389,0.002076942,2.011248,-0.01832555,-0.06532983,0,10.08734,41.13566,-979.645,0.655,,,
9630,-0.004817109,0.003298672,2.010881,-0.01349644,-0.07061274,0,14.56936,51.59438,-974.1755,0.664,,,
9695,-0.004642576,0.004607669,2.010497,-0.01703749,-0.06029911,0,7.562473,46.95316,-987.9005,0.665,,,
9761,-0.004590216,0.006213372,2.009747,-0.01630552,-0.03790256,0,10.47654,40.70473,-990.0977,0.667,,,
9826,-0.004782202,0.00567232,2.009694,-0.01361383,-0.0307681,0,14.71409,45.16299,-988.1677,0.673,,,
9891,-0.004171337,0.006073745,2.009467,-0.01475096,-0.02729456,0,4.606535,31.26685,-982.8539,0.675,,,
9956,-0.002984513,0.005585053,2.008926,-0.01454798,-0.03489556,0,13.94218,35.54724,-993.3377,0.677,,,
10021,-0.00312414,0.005305801,2.008996,-0.01597815,-0.02742958,0,0,0,0,0.678,,,
10086,-0.002879793,0.004642576,2.009066,-0.01602303,-0.02246911,0,16.62064,46.92096,-986.4931,0.68,,,
10151,-0.002949606,0.003316126,2.008909,-0.007042323,-0.02296581,0,9.741901,35.67041,-984.058,0.684,,,
10216,-0.00312414,0.003804818,2.009834,-0.01726336,-0.02731835,0,20.94372,43.73513,-1002.337,0.685,,,
10281,-0.004380776,0.003595378,2.010026,-0.03482138,-0.03528021,0,19.31833,35.06723,-994.8297,0.688,,,
10346,-0.005148721,0.00312414,2.010357,-0.01268204,-0.02484876,0,-1.498702,40.27701,-989.7769,0.689,,,
10411,-0.003525565,0.001204277,2.010514,-0.01132226,-0.02789938,0,21.63846,35.33073,-996.8354,0.69,,,
10476,-0.002844887,0.002426008,2.011178,-0.008878386,-0.0256422,0,3.076972,39.78142,-997.4079,0.691,,,
10541,-0.000785398,0.004014257,2.011003,-0.005441711,-0.02237867,0,14.95442,45.49402,-1001.168,0.694,,,
10606,-0.00020944,0.006387905,2.011387,-0.005873299,-0.02164778,0,6.396953,39.81646,-992.3868,0.697,,,
10671,-0.000244346,0.006161012,2.011789,-0.006318935,-0.01568852,0,8.905288,44.60558,-1001.604,0.701,,,
10736,-0.000855211,0.005323255,2.012103,-0.007016087,-0.01517932,0,9.80799,40.07924,-987.9968,0.704,,,
