Time,Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2)
14761,-0.003700098,-0.000139626,0.454955,0,0,0,-23.30426,45.02908,-988.9033
14831,-0.003700098,-0.000122173,0.4549724,0,0,0,-23.21943,46.18567,-983.9019
14901,-0.003665191,-0.00010472,0.4549724,0,0,0,-23.1254,47.64755,-981.8604
14971,-0.003665191,-0.00015708,0.4550073,0,0,0,-25.45667,46.43843,-981.0874
15041,-0.003665191,-0.000174533,0.4549724,0,0,0,-26.45255,46.4733,-982.2075
15111,-0.003717551,-0.000331613,0.4549899,0,0,0,-22.46772,49.63947,-981.1626
15181,-0.003769911,-0.000453786,0.4549899,0,0,0,-28.03917,46.58006,-981.0171
15251,-0.003804818,-0.000453786,0.454955,0,0,0,-25.7351,46.36577,-979.9727
15321,-0.003822271,-0.000418879,0.454955,0,0,0,-22.98153,46.2253,-988.1743
15391,-0.003804818,-0.000418879,0.4549201,0,0,0,-23.15236,46.33645,-981.0454
15461,-0.003822271,-0.000418879,0.4549201,0,0,0,-31.47829,46.52453,-989.2339
15531,-0.003769911,-0.000436332,0.4549201,0,0,0,-23.96349,46.93065,-981.0693
15601,-0.003769911,-0.000471239,0.4549375,0,0,0,-22.38969,46.22892,-981.5679
15671,-0.003735005,-0.000541052,0.4549201,0,0,0,-28.5754,46.50816,-982.5518
15741,-0.003735005,-0.000593412,0.4548852,0,0,0,-28.21024,46.38302,-988.3813
15811,-0.003752458,-0.000680678,0.4548677,0,0,0,-24.6285,46.41632,-981.1802
15881,-0.003787364,-0.000610865,0.4548852,0,0,0,-24.75533,46.26406,-985.9893
15951,-0.003804818,-0.000733038,0.4548852,0,0,0,-22.31774,44.33164,-982.2314
16021,-0.003560472,-0.000872665,0.4548677,0,0,0,-22.8228,39.93991,-981.0024
16091,-0.003577925,-0.000820305,0.4548328,0,0,0,-23.15378,46.34511,-985.4116
16162,-0.003577925,-0.000820305,0.4548154,0,0,0,-23.65932,46.34562,-981.2554
16232,-0.003577925,-0.000767945,0.4547979,0,0,0,-23.35057,46.21742,-982.1914
16302,-0.003595378,-0.000733038,0.4547804,0,0,0,-23.24857,44.79588,-980.8921
16372,-0.003508112,-0.000837758,0.4547979,0,0,0,-24.52528,46.07453,-988.7725
16442,-0.003508112,-0.000802852,0.4547979,0,0,0,-23.16447,46.29255,-982.3745
16512,-0.003525565,-0.000733038,0.4548154,0,0,0,-23.1819,46.15538,-988.0947
16582,-0.003543018,-0.000680678,0.4548328,0,0,0,-23.13782,46.15443,-990.8062
16652,-0.003560472,-0.000680678,0.4548677,0,0,0,-23.19302,46.27292,-987.1025
16722,-0.003612831,-0.000872665,0.4548852,0,0,0,-29.20076,46.61304,-981.0835
16793,-0.003630285,-0.000872665,0.4548852,0,0,0,-23.67983,46.14222,-988.1865
16862,-0.003630285,-0.001047197,0.4548852,0,0,0,-29.26031,46.56897,-981.4775
16932,-0.003647738,-0.001117011,0.4548852,0,0,0,-24.16271,46.29247,-981.1084
17002,-0.003665191,-0.001029744,0.4549026,0,0,0,-23.30998,46.27341,-982.9741
17072,-0.003717551,-0.001117011,0.4549026,0,0,0,-29.02226,46.58886,-981.3369
17142,-0.003752458,-0.001134464,0.4548852,0,0,0,-26.4116,46.23317,-989.7397
17212,-0.003769911,-0.001064651,0.4548677,0,0,0,-23.32285,46.27244,-981.3882
17282,-0.003752458,-0.001029744,0.4548852,0,0,0,-23.17443,46.30226,-982.7334
17352,-0.003700098,-0.001012291,0.4548852,0,0,0,-23.19473,46.09347,-990.0249
17422,-0.003717551,-0.000959931,0.4548852,0,0,0,-23.26423,46.09086,-987.0249
17492,-0.003647738,-0.000925025,0.4549201,0,0,0,-22.28158,46.37649,-981.6528
17562,-0.003508112,-0.000977384,0.4549026,0,0,0,-29.97857,45.78264,-982.6055
17632,-0.003543018,-0.000907571,0.4548677,0,0,0,-23.28377,46.48328,-982.5454
17702,-0.003577925,-0.000907571,0.4548328,0,0,0,-28.2659,46.45418,-984.8052
17773,-0.003595378,-0.000890118,0.4548503,0,0,0,-23.21046,44.7448,-988.1675
17843,-0.003630285,-0.000959931,0.4548677,0,0,0,-31.49807,46.89645,-979.1108
17913,-0.003630285,-0.001064651,0.4548328,0,0,0,-24.05703,46.27009,-981.7959
17983,-0.003682645,-0.00122173,0.4548328,0,0,0,-31.00202,46.70029,-981.1104
18053,-0.003700098,-0.001291544,0.4547979,0,0,0,-24.55112,46.30666,-981.126
18123,-0.003735005,-0.001500983,0.4547979,0,0,0,-29.22874,46.57956,-981.5864
18193,-0.003717551,-0.001413717,0.4547979,0,0,0,-23.23066,46.23729,-980.7207
18263,-0.003717551,-0.001396263,0.4547979,0,0,0,-22.64085,46.36301,-981.187
18333,-0.003717551,-0.00143117,0.4548154,0,0,0,-24.03452,46.34818,-982.7524
18403,-0.003700098,-0.001413717,0.4548154,0,0,0,-22.55946,46.12296,-981.1724
18473,-0.003700098,-0.00132645,0.4548154,0,0,0,-23.24773,46.31694,-979.1729
18543,-0.003682645,-0.001343903,0.4548154,0,0,0,-22.37147,46.09584,-988.5957
18613,-0.003682645,-0.00122173,0.4547979,0,0,0,-23.1742,46.25137,-987.2788
18683,-0.003682645,-0.001169371,0.4547804,0,0,0,-23.29305,46.28878,-980.8345
18753,-0.003717551,-0.001117011,0.4547455,0,0,0,-23.14823,46.15528,-981.7573
18823,-0.003735005,-0.001047197,0.4547455,0,0,0,-23.22798,46.30643,-982.6279
18893,-0.003735005,-0.001117011,0.4547455,0,0,0,-31.46653,46.6935,-981.4902
18963,-0.003769911,-0.001134464,0.4547106,0,0,0,-24.21852,46.37227,-981.0864
